"STATISTIC","Statistic Label","TLIST(M1)","Month","C02431V02938","Meteorological Weather Station","UNIT","VALUE"
"MTM01C1","Total Rainfall","195801","1958M01","001","Belmullet","Millimetres","160.2"
"MTM01C1","Total Rainfall","195801","1958M01","002","Birr","Millimetres","95.6"
"MTM01C1","Total Rainfall","195801","1958M01","003","Valentia Observatory","Millimetres","214.8"
"MTM01C1","Total Rainfall","195801","1958M01","004","Casement","Millimetres",""
"MTM01C1","Total Rainfall","195801","1958M01","005","Claremorris","Millimetres","146.9"
"MTM01C1","Total Rainfall","195801","1958M01","006","Clones","Millimetres","104.8"
"MTM01C1","Total Rainfall","195801","1958M01","007","Cork airport","Millimetres",""
"MTM01C1","Total Rainfall","195801","1958M01","008","Dublin airport","Millimetres","40"
"MTM01C1","Total Rainfall","195801","1958M01","009","Galway","Millimetres",""
"MTM01C1","Total Rainfall","195801","1958M01","010","Kilkenny","Millimetres","116.4"
"MTM01C1","Total Rainfall","195801","1958M01","011","Malin head","Millimetres","127.2"
"MTM01C1","Total Rainfall","195801","1958M01","012","Mullingar","Millimetres","109.4"
"MTM01C1","Total Rainfall","195801","1958M01","013","Roches Point","Millimetres","120.7"
"MTM01C1","Total Rainfall","195801","1958M01","014","Rosslare","Millimetres","102.5"
"MTM01C1","Total Rainfall","195801","1958M01","015","Shannon airport","Millimetres","115.6"
"MTM01C1","Total Rainfall","195802","1958M02","001","Belmullet","Millimetres","75.2"
"MTM01C1","Total Rainfall","195802","1958M02","002","Birr","Millimetres","85.6"
"MTM01C1","Total Rainfall","195802","1958M02","003","Valentia Observatory","Millimetres","130.8"
"MTM01C1","Total Rainfall","195802","1958M02","004","Casement","Millimetres",""
"MTM01C1","Total Rainfall","195802","1958M02","005","Claremorris","Millimetres","98.3"
"MTM01C1","Total Rainfall","195802","1958M02","006","Clones","Millimetres","97.1"
"MTM01C1","Total Rainfall","195802","1958M02","007","Cork airport","Millimetres",""
"MTM01C1","Total Rainfall","195802","1958M02","008","Dublin airport","Millimetres","101.6"
"MTM01C1","Total Rainfall","195802","1958M02","009","Galway","Millimetres",""
"MTM01C1","Total Rainfall","195802","1958M02","010","Kilkenny","Millimetres","87.6"
"MTM01C1","Total Rainfall","195802","1958M02","011","Malin head","Millimetres","143.2"
"MTM01C1","Total Rainfall","195802","1958M02","012","Mullingar","Millimetres","82"
"MTM01C1","Total Rainfall","195802","1958M02","013","Roches Point","Millimetres","107.1"
"MTM01C1","Total Rainfall","195802","1958M02","014","Rosslare","Millimetres","119.7"
"MTM01C1","Total Rainfall","195802","1958M02","015","Shannon airport","Millimetres","92.8"
"MTM01C1","Total Rainfall","195803","1958M03","001","Belmullet","Millimetres","86.4"
"MTM01C1","Total Rainfall","195803","1958M03","002","Birr","Millimetres","40.9"
"MTM01C1","Total Rainfall","195803","1958M03","003","Valentia Observatory","Millimetres","133.5"
"MTM01C1","Total Rainfall","195803","1958M03","004","Casement","Millimetres",""
"MTM01C1","Total Rainfall","195803","1958M03","005","Claremorris","Millimetres","82.3"
"MTM01C1","Total Rainfall","195803","1958M03","006","Clones","Millimetres","33"
"MTM01C1","Total Rainfall","195803","1958M03","007","Cork airport","Millimetres",""
"MTM01C1","Total Rainfall","195803","1958M03","008","Dublin airport","Millimetres","23.4"
"MTM01C1","Total Rainfall","195803","1958M03","009","Galway","Millimetres",""
"MTM01C1","Total Rainfall","195803","1958M03","010","Kilkenny","Millimetres","33.9"
"MTM01C1","Total Rainfall","195803","1958M03","011","Malin head","Millimetres","45.6"
"MTM01C1","Total Rainfall","195803","1958M03","012","Mullingar","Millimetres","34.1"
"MTM01C1","Total Rainfall","195803","1958M03","013","Roches Point","Millimetres","133.8"
"MTM01C1","Total Rainfall","195803","1958M03","014","Rosslare","Millimetres","68.4"
"MTM01C1","Total Rainfall","195803","1958M03","015","Shannon airport","Millimetres","52"
"MTM01C1","Total Rainfall","195804","1958M04","001","Belmullet","Millimetres","30.6"
"MTM01C1","Total Rainfall","195804","1958M04","002","Birr","Millimetres","37.5"
"MTM01C1","Total Rainfall","195804","1958M04","003","Valentia Observatory","Millimetres","40.6"
"MTM01C1","Total Rainfall","195804","1958M04","004","Casement","Millimetres",""
"MTM01C1","Total Rainfall","195804","1958M04","005","Claremorris","Millimetres","37.4"
"MTM01C1","Total Rainfall","195804","1958M04","006","Clones","Millimetres","30.4"
"MTM01C1","Total Rainfall","195804","1958M04","007","Cork airport","Millimetres",""
"MTM01C1","Total Rainfall","195804","1958M04","008","Dublin airport","Millimetres","29.9"
"MTM01C1","Total Rainfall","195804","1958M04","009","Galway","Millimetres",""
"MTM01C1","Total Rainfall","195804","1958M04","010","Kilkenny","Millimetres","28"
"MTM01C1","Total Rainfall","195804","1958M04","011","Malin head","Millimetres","52.3"
"MTM01C1","Total Rainfall","195804","1958M04","012","Mullingar","Millimetres","25.7"
"MTM01C1","Total Rainfall","195804","1958M04","013","Roches Point","Millimetres","13.3"
"MTM01C1","Total Rainfall","195804","1958M04","014","Rosslare","Millimetres","18.1"
"MTM01C1","Total Rainfall","195804","1958M04","015","Shannon airport","Millimetres","30.2"
"MTM01C1","Total Rainfall","195805","1958M05","001","Belmullet","Millimetres","118"
"MTM01C1","Total Rainfall","195805","1958M05","002","Birr","Millimetres","101.2"
"MTM01C1","Total Rainfall","195805","1958M05","003","Valentia Observatory","Millimetres","123.1"
"MTM01C1","Total Rainfall","195805","1958M05","004","Casement","Millimetres",""
"MTM01C1","Total Rainfall","195805","1958M05","005","Claremorris","Millimetres","126.7"
"MTM01C1","Total Rainfall","195805","1958M05","006","Clones","Millimetres","73"
"MTM01C1","Total Rainfall","195805","1958M05","007","Cork airport","Millimetres",""
"MTM01C1","Total Rainfall","195805","1958M05","008","Dublin airport","Millimetres","103.9"
"MTM01C1","Total Rainfall","195805","1958M05","009","Galway","Millimetres",""
"MTM01C1","Total Rainfall","195805","1958M05","010","Kilkenny","Millimetres","91.9"
"MTM01C1","Total Rainfall","195805","1958M05","011","Malin head","Millimetres","69"
"MTM01C1","Total Rainfall","195805","1958M05","012","Mullingar","Millimetres","86.6"
