Sample Type,N2O gas age years AD,N2O (ppb),Unnamed: 3,publication status
CAPE GRIM,2004.0,318.72,,
CAPE GRIM,2003.0,317.53,,
CAPE GRIM,2002.0,316.97,,
CAPE GRIM,2001.0,316.18,,
CAPE GRIM,2000.0,315.62,,
CAPE GRIM,1999.0,314.73,,
CAPE GRIM,1998.0,313.72,,
CAPE GRIM,1997.0,312.89,,
DSSW20K firn,1996.5,312.2840018292674,,
CAPE GRIM,1996.0,311.82,,
CAPE GRIM,1995.0,311.11,,
DSSW20K firn,1994.5,310.8771957162159,,
CAPE GRIM,1994.0,310.5,,
CAPE GRIM,1993.0,309.95,,
DSSW20K firn,1992.4,309.5805879773971,,
DSSW20K firn,1989.8,307.4891580322015,,
DSSW20K firn,1983.7,303.5808363403616,,
DE08-2,1979.0,300.29758,,MacFM 2004/2006
DE08-2,1979.0,304.53840999999994,,MacFM 2004/2006
DE08-2,1976.0,300.008885,,MacFM 2004/2006
DE08-2,1974.0,297.05224999999996,,MacFM 2004/2006
DE08-2,1972.0,298.376265,,MacFM 2004/2006
DE08-2,1970.7,296.38526499999995,,MacFM 2004/2006
DSSW20K firn,1970.0,295.3472298829842,,
DE08,1969.0,292.920925,,MacFM 2004/2006
DE08,1966.0,292.51277,,MacFM 2004/2006
DE08,1966.0,292.53267999999997,,MacFM 2004/2006
DE08,1964.0,293.42593,,MacFM 2004/2006
DE08,1963.0,294.38430999999997,,MacFM 2004/2006
DSSW20K firn,1962.9,291.22680138151503,,
DSS,1960.7390289576404,291.09916,,MacFM 2004/2006
DE08,1959.0,292.82863000000003,,MacFM 2004/2006
DE08,1958.0,292.23133,,MacFM 2004/2006
DE08,1957.0,292.23133,,MacFM 2004/2006
DE08,1955.0,290.329475,,MacFM 2004/2006
DE08,1954.0,288.33167,,MacFM 2004/2006
DE08,1953.0,286.270985,,MacFM 2004/2006
DE08,1950.0,287.263335,,MacFM 2004/2006
DSS,1949.3243294617719,287.95338,,MacFM 2004/2006
DE08-2,1949.0,290.28284999999994,,MacFM 2004/2006
DE08,1949.0,286.90540500000003,,MacFM 2004/2006
DSS,1948.0,288.01991499999997,,MacFM 2004/2006
DE08,1945.0,286.81581,,MacFM 2004/2006
DE08,1945.0,287.644775,,MacFM 2004/2006
DSSW20K firn,1942.1,288.6618159441214,,
DE08-2,1941.0,289.8647399999999,,MacFM 2004/2006
DE08,1940.0,287.85382999999996,,MacFM 2004/2006
DE08,1939.0,286.51986,,MacFM 2004/2006
DE08,1938.0,285.08319,,MacFM 2004/2006
DE08-2,1935.0,288.72986999999995,,MacFM 2004/2006
DE08,1933.0,285.34517,,MacFM 2004/2006
DE08,1929.0,285.50175,,MacFM 2004/2006
DSS,1927.1770631691543,283.09534,,MacFM 2004/2006
