year,CO2 (ppmv)
350.11010303030304,280.4
486.69320000000005,274.9
501.19500000000016,277.9
539.6494545454545,279.1
539.8949090909091,281.9
657.6930181818182,277.7
762.1633393939395,281.1
867.6128000000001,282.2
961.0747272727275,280.1
1109.4966060606057,278.4
1168.2869090909091,276.6
1256.8527272727274,279.1
1315.2718181818182,277.7
1387.2658787878786,278.7
1477.1663030303037,277.4
1653.1327272727276,279.2
1729.0266666666669,280
1816.6017575757583,278.9
1901.9749696969702,278.7
1999.70909090909,278
2093.3590909090913,276.9
2234.2352727272723,276.7
2265.5493333333334,276.7
2414.3166666666666,277.6
2526.12496969697,277.9
2628.015757575757,273.9
2708.475454545455,278.9
2801.7606666666657,275.3
2904.5469090909087,274.7
2948.816303030303,276.3
3056.604242424242,274.6
3255.728181818182,276.3
3283.661575757576,273.1
3431.119272727273,274
3528.2878787878785,275
3644.462727272728,273.4
3693.407696969697,273
3806.856969696969,271.5
3856.1663636363637,275.4
3968.9506060606054,274.9
4108.666727272727,271.7
4205.842363636364,271.6
4275.076666666667,272.8
4342.822424242424,271.5
4494.362424242425,271.1
4592.819272727273,269.1
4647.462909090909,269.8
4773.001515151515,271.5
4921.201818181818,270.7
4981.579878787878,269.3
5086.789939393939,268.6
5218.5661818181825,269.8
5311.175757575757,267.6
5357.548545454545,265.3
5533.289575757576,265.2
5581.297333333333,267.6
5757.606363636363,265.9
5852.259636363636,265.5
5934.091454545454,260.7
5999.3760606060605,266.7
6089.807878787879,265.5
6301.963333333333,263.2
6337.206909090909,262.7
6401.244848484847,261.2
6572.291575757575,261.1
6682.545393939393,259.4
6769.652545454545,262.1
6880.308666666668,262.9
6970.077393939396,258.1
7038.269878787879,257.6
7188.070303030302,262.3
7274.009999999999,263
7405.323818181818,260.7
7497.865393939395,258.4
7661.3663636363635,260.1
7719.5915151515155,260.4
7860.1816363636335,259.7
7926.3653939393935,259.2
7975.853939393939,260.8
8116.284242424243,259.6
8194.798787878788,259.3
8351.876727272727,258.3
8459.675757575757,261.3
8546.579090909092,260.7
8710.678181818183,261.8
8781.282363636365,259
8911.853878787877,260.9
8992.985757575756,260.4
9060.173939393939,259.3
9143.01284848485,262
9295.308848484849,263.7
9361.11696969697,263.8
9436.703454545453,265.2
9518.05903030303,260.6
9524.439454545454,260.9
9555.86393939394,263
9573.266606060606,263.8
9901.037878787878,264.4
9992.609575757577,264.2
10134.50303030303,264
10192.954545454544,263.4
10299.554545454546,265.7
10366.55575757576,264.9
10505.551515151516,267.5
10680.480000000003,266.9
10801.809090909092,266
10835.743636363635,265.1
10954.478787878788,267.6
11089.615757575755,264.8
11161.063636363637,264.8
11185.87090909091,265
11200.576363636363,265.3
11256.567878787879,264.4
11316.978787878788,264.1
11437.7,264.2
11515.263636363636,264.5
11529.656363636364,264
11534.1,263
11537.366666666667,265.2
11540.755757575758,258.8
11548.376363636364,260.8
11612.217575757575,255.4
11688.027272727275,253.9
11753.748484848484,253.8
11940.539393939396,250.7
12017.843030303029,249.7
12078.115151515152,251.1
12154.812121212122,250.7
12313.149090909092,245.3
12404.35090909091,245.3
12442.463636363636,246.6
12507.82909090909,243.2
12579.47878787879,240.3
12822.30909090909,237.5
12952.876969696968,237.6
13199.160606060605,234.2
13436.515151515152,238.3
13626.912121212123,237.3
13726.49212121212,237.9
13911.999999999998,237.6
14188.655151515153,236.4
14248.766666666666,239.2
14262.336363636365,238.6
14385.875757575757,238.6
14580.798787878788,239.1
14811.106666666667,228.5
15137.318181818184,228.4
15421.766666666666,226.1
15657.258181818179,225.2
15790.427272727273,224.5
15936.955151515152,222
16063.836363636365,221
16133.909696969697,220.9
16396.39090909091,219.4
16723.096969696962,214
16971.381818181817,207.5
17155.361818181816,207.7
17288.433333333334,202.9
17395.15818181818,200.8
17708.4696969697,195.2
18212.70848484849,193.9
18499.212121212116,191
18639.52545454545,188.5
18908.2090909091,188.5
19113.55393939393,189.2
19438.1,187
19605.70303030303,188.6
19827.745454545453,189.4
19852.454545454544,192.3
19884.301818181815,188.3
20143.954545454548,188.7
20224.50727272727,188.8
20484.78181818182,190
20818.41757575758,188
21066.110303030295,188.2
21110.50606060606,195
21426.992121212123,187.8
21577.90787878788,186.9
21718.170909090906,186.5
21823.703030303033,184.7
21936.79090909091,186.1
22133.247272727276,185.7
22236.429090909092,184.4
,284.7
3661.9285,272.7
3746.627,268.1
6449.1759999999995,262.2
7567.351000000001,254.5
8167.45,259.6
10555.89,261.6
11326.34,263.7
11960.780000000002,244.8
12630.145,238.3
14177.925,236.2
14984.560000000003,225.2
20662.225,182.2
22997.44,189.2
27490.58,191.6
30633.415000000005,188.5
31336.230000000003,191.7
36036.884999999995,205.3
38058.5,209.1
44888.88,209.1
49242.899999999994,189.3
50788.82,188.4
51894.1,210.1
52841.93000000001,215.7
53933.34,190.4
58215.13,221.7
59477.3,210.4
65222.91,195.3
66826.025,191.4
67974.7,194.9
72700.34,227.3
74350.675,229.1
78559.105,217.1
79529.65,221.7
81582.79500000001,230.9
83327.58,241.1
84218.325,236.4
84521.4,228
85266.82,214.2
86599.3,217
88092.94,208
90331.35,224.2
91441.70000000001,228.3
94216.26,232
99545.175,225.8
100771.8,230.8
101336.79999999999,236.9
103892,228.1
105260.2,236.9
106419.65,230.6
109117.8,238.2
109766.4,245.6
111501,251.2
113309,256.7
114437.25000000001,266.3
115269.2,261.4
115664,274.5
116071,273.2
117287.4,262.5
118266,267.6
118967.75,273.7
119923,271.9
120584.6,265.2
121172.6,277.6
122447.2,272.1
123087,276.4
124161.2,268.7
124206,266.6
124716,266.3
125006,279.7
125194,273
125381,277.1
126023.15,273.7
126110,267.1
126451,262.5
126990.79999999999,262.6
127575,275.3
127834,275.6
128329.95,274
128380,287.1
128818.25,286.8
129224,282.6
129522,264.1
129872.5,263.4
130360,257.9
130464.25,259
132498,245
132673,240.4
133017,228.9
134110,223.5
134911.25,223.9
134959.5,220.3
135571,210.6
136756.69999999998,208.9
136986,203.7
137833.4,204.5
137981,200.4
138005.5,198
138110.8,198
138191.5,201.7
138251,200.7
138547.3,202.4
138925,195.8
139040.5,201.1
139828.69999999998,194.3
140281.25,193.4
140836,194.2
141152.5,190.2
142315.05000000002,192.3
142658,196.5
143937,195.6
143992.5,196.4
145021.2,190.4
148447.5,196.9
152458.80000000002,203
153453,191.9
153570,188.9
155261.3,200.6
158666,189
159716,185.5
160154.99999999997,187.5
163858,204.3
164334.65000000002,196.5
166143,191.6
166784.00000000003,190.1
167914.1,186.7
168745.5,183.8
169514.40000000002,196.6
171939,197.8
174442,197.7
175833.35,196
176853,190.3
177533.92500000002,189.4
177729.5,190.1
179873,207.7
181302,213.2
182196,217.7
183257.99999999997,198.1
184371,199.7
186411,203.4
188437,210.7
189806.5,231.3
191254.5,231.4
191964.075,220.3
193074.5,218
195126.50000000003,226.5
195799.5,220
197587.35000000003,226.4
198327.45,241.2
198938,242.6
201752,250.9
202744.5,239.1
203842,247.6
205203.27500000002,244.4
205575.75499999998,231.9
205944.575,232.2
206359.93499999997,228.6
206896.84999999998,226.3
207240.3,229.4
207622.89,231.4
208108.775,238.1
208274.52500000002,237.2
208821.56999999998,230
209082.25499999998,240.5
209445.04,242.2
209966.085,244.6
210175.17,243.9
210832.06500000003,247.2
211058.465,252
211577.835,246.9
212078.745,239.5
212533.075,257.4
213330.35,243.4
214158.81,251.2
215080.74499999997,241.4
215912.33999999997,240.3
216306.15,242.6
216864.96499999997,247.5
217415.63499999998,251.7
217694.96000000002,251.1
218200.78499999997,245.3
219067.605,240.5
220935.61500000002,214.1
221697.45999999996,216.1
222539.57500000004,207.1
223129.03499999997,208.8
224271.50500000003,205.6
226259.82500000004,203.3
226849.83500000002,215.7
227719.97500000003,235.5
228439.41499999998,234.5
228766.99000000002,233.1
229572.04500000004,224.5
231129.66,232.4
232191.76999999996,233.9
232856.06,241.6
235990.855,245.2
236426.005,252.1
236850.8,241.4
237391.655,247.4
237905.53000000003,243.1
238425.33500000002,239.1
239008.26,245.6
239387.03500000003,245.8
239738.66,247.4
240190.36500000002,252.8
241333.045,259.7
241855.39999999997,263.2
242685.46000000002,279
243138.52,280.2
244121.765,263.7
244582.33500000002,252.3
245057.01000000004,249.9
245564,236.7
246188.81000000006,230.4
246870.48500000004,219.4
249099.87000000005,214.7
251390.57000000004,200.2
252132.25500000003,213.9
252953.72000000006,195.4
253756.68000000005,196.7
254587.10500000007,195.4
256298.65999999997,199
257060.58500000005,201.9
257908.06500000006,204
259396.89500000005,203.9
260894.24000000005,209.6
261293.92000000004,205.7
262054.57500000004,208.9
262817.0950000001,214.6
264583.76000000007,228.1
266134.45000000007,199.9
267007,211.7
268257.83,188.7
268995.5,187.2
269940.47000000003,194.2
271036.0350000001,198.8
272149.6400000001,184.7
273165.8300000001,190.4
274164.07500000007,193.9
275154.63500000007,194.1
276257.7150000001,198.4
277443.0000000001,193.2
278590.9050000001,202.2
279619.0450000001,204.5
280558.95,211
281400.74000000005,215.3
282592.88999999996,223.7
284434.68000000005,231.3
285931.32000000007,228
286609.9550000001,226.4
287443.86,231.4
287820.05000000005,230.4
288286.42500000005,231
290184.5,234.9
290863.79000000004,220.4
291562.87000000005,217.1
292818.31000000006,207.6
293650.74000000005,206
294455.29000000004,206.7
295364.225,212.7
296828.86500000005,213.1
298704.61500000005,217.1
299376.28,224.4
300115.86500000005,231
301025.61500000005,236.1
302084.19000000006,239
303116.00000000006,236
304100.92000000004,240.2
305099.81000000006,240.7
305778.1500000001,250.2
306581.11500000005,248.6
307463.2650000001,244.8
308325.70000000007,225.8
309423.73,227.8
310010.975,226.2
310776.1000000001,233.2
311670.02499999997,237.8
312593.43000000005,239
313343.12500000006,241.9
314051.85000000003,251.6
314836.2100000001,256.7
315657.5150000001,257.1
316450.72,246.8
317149.87000000005,272.6
317932.54500000004,251.6
318852.59500000003,245.2
319829.6600000001,233.4
320916.3350000001,255.8
321817.44500000007,249.2
323383.34500000003,257.2
324166.915,260.4
325007.4050000001,260.3
325823,260.5
326591.0900000001,266.2
327435.83499999996,264
328086.81000000006,266.1
328770.75000000006,270.1
329414.29,271.9
330053.32500000007,275.1
331293.55000000005,265
332144.11500000005,271.7
332798.62000000005,272.6
333500.08999999997,273.1
333997.55500000005,282.4
334349.49500000005,289.1
334543.885,288.4
335102.30500000005,298.6
335707.51000000007,278.1
336377.54,285.8
336867.81999999995,278.6
337516.67000000004,270.5
338213.50000000006,255.7
