Year for CO2,CO2 (ppmv),CO2 Source,Temperature_Year,Temperature_anomaly,N2O Year,N2O (ppb),date,Average (C),Season,Weather_station_source,year,Statistic Label,Median montly series,Moving Average,Meteorological Weather Station
-796562.0,191.0,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-795149.0,188.4,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-794517.0,189.3,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-793252.0,195.2,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-792658.0,199.4,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-791310.0,209.0,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-790993.0,204.0,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-790131.0,205.1,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-789541.0,215.4,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-788588.0,221.3,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-788203.0,218.2,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-787431.0,226.3,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-786937.0,229.5,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-786083.0,247.9,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-785855.0,248.1,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-785126.0,256.9,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-784637.0,260.3,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-783839.0,255.4,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-783463.0,253.3,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-782742.0,250.7,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-782197.0,246.9,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-781313.0,252.1,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-780109.0,246.2,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-779585.0,248.7,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-778662.0,242.8,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-778318.0,248.5,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
